lambda,R_lambda
-8.9,0.07006662382948027
-8.879999999999999,0.07077070762424305
-8.86,0.07148186461044251
-8.84,0.07220016578445643
-8.82,0.07292568285343683
-8.8,0.07365848824236937
-8.78,0.07439865510120174
-8.76,0.0751462573120404
-8.74,0.07590136949641763
-8.719999999999999,0.07666406702262833
-8.7,0.0774344260131377
-8.68,0.07821252335206089
-8.66,0.07899843669271409
-8.64,0.07979224446523898
-8.620000000000001,0.08059402588430013
-8.6,0.08140386095685671
-8.58,0.08222183049000859
-8.56,0.08304801609891808
-8.54,0.08388250021480764
-8.52,0.08472536609303351
-8.5,0.08557669782123774
-8.48,0.08643658032757724
-8.46,0.08730509938903189
-8.44,0.08818234163979166
-8.42,0.08906839457972365
-8.4,0.08996334658292027
-8.379999999999999,0.0908672869063279
-8.36,0.09178030569845777
-8.34,0.09270249400818004
-8.32,0.09363394379360021
-8.3,0.09457474793102033
-8.28,0.09552500022398451
-8.26,0.09648479541240948
-8.24,0.09745422918180231
-8.219999999999999,0.0984333981725636
-8.2,0.09942239998937857
-8.18,0.10042133321069688
-8.16,0.10143029739830034
-8.14,0.10244939310696063
-8.120000000000001,0.10347872189418737
-8.1,0.10451838633006678
-8.08,0.10556849000719189
-8.06,0.10662913755068572
-8.04,0.107700434628317
-8.02,0.10878248796070905
-8.0,0.10987540533164468
-7.9799999999999995,0.11097929559846452
-7.96,0.11209426870256217
-7.9399999999999995,0.11322043567997557
-7.92,0.11435790867207567
-7.9,0.11550680093635299
-7.88,0.11666722685730285
-7.86,0.1178393019574097
-7.84,0.11902314290823186
-7.82,0.12021886754158664
-7.8,0.12142659486083687
-7.78,0.1226464450522796
-7.76,0.1238785394966377
-7.74,0.12512300078065436
-7.72,0.12637995270879243
-7.7,0.12764952031503787
-7.68,0.12893182987480906
-7.66,0.13022700891697206
-7.64,0.1315351862359627
-7.62,0.13285649190401572
-7.6,0.13419105728350278
-7.58,0.13553901503937796
-7.56,0.13690049915173405
-7.54,0.13827564492846714
-7.52,0.1396645890180532
-7.5,0.14106746942243484
-7.4799999999999995,0.1424844255100204
-7.46,0.1439155980287949
-7.4399999999999995,0.14536112911954452
-7.42,0.14682116232919368
-7.3999999999999995,0.14829584262425718
-7.38,0.14978531640440587
-7.36,0.15128973151614822
-7.34,0.1528092372666274
-7.32,0.15434398443753355
-7.3,0.1558941252991343
-7.28,0.15745981362442044
-7.26,0.15904120470337113
-7.24,0.16063845535733512
-7.22,0.1622517239535319
-7.2,0.16388117041967054
-7.18,0.16552695625868846
-7.16,0.16718924456360928
-7.14,0.16886820003252065
-7.12,0.17056398898367203
-7.1,0.17227677937069358
-7.08,0.1740067407979349
-7.06,0.1757540445359257
-7.04,0.17751886353695637
-7.02,0.17930137245078176
-7.0,0.18110174764044448
-6.9799999999999995,0.18292016719822146
-6.96,0.18475681096169128
-6.9399999999999995,0.1866118605299241
-6.92,0.1884854992797926
-6.8999999999999995,0.19037791238240573
-6.88,0.1922892868196633
-6.86,0.19421981140093322
-6.84,0.19616967677984976
-6.82,0.19813907547123313
-6.8,0.20012820186813146
-6.78,0.20213725225898202
-6.76,0.20416642484489503
-6.74,0.20621591975705597
-6.72,0.20828593907424983
-6.7,0.21037668684050317
-6.68,0.21248836908284643
-6.66,0.21462119382919406
-6.64,0.2167753711263431
-6.62,0.2189511130580883
-6.6,0.22114863376345453
-6.58,0.22336814945504405
-6.56,0.22560987843749972
-6.54,0.2278740411260807
-6.52,0.23016086006535294
-6.5,0.23247055994798932
-6.4799999999999995,0.2348033676336826
-6.46,0.23715951216816628
-6.4399999999999995,0.23953922480234496
