t,lambda_t,R_t
0.29075,-0.3340317192721064,3.875739782298651
0.29125,-0.3391002051957024,3.8700142535762416
0.29175,-0.34416480436320296,3.8642895187844353
0.29225,-0.3492290536590419,3.8585616358123014
0.29275,-0.3542895071067549,3.8528345577920677
0.29325,-0.3593496098172715,3.847104441312492
0.29375,-0.36440600655379984,3.841375141218734
0.29425,-0.3694620519843008,3.835642911686627
0.29475,-0.3745144802946405,3.8299115103836505
0.29525,-0.3795665570232837,3.8241772879626117
0.29575,-0.3846151044785682,3.8184439060201476
0.29625,-0.3896633003661709,3.8127078105785426
0.29675,-0.3947080538332459,3.8069725682678097
0.29725,-0.39975245603292014,3.8012347193748868
0.29775,-0.40479350168375416,3.795497736664669
0.29825,-0.40983419665038173,3.78975825358669
0.29875,-0.41487161997131905,3.7840196501394434
0.29925,-0.4199086934708613,3.778278651835849
0.29975,-0.42494257927170986,3.7725385470038457
0.30025,-0.42997611639035765,3.76679615212344
0.30075,-0.43500654881332973,3.7610546649449237
0.30125,-0.4400366339665016,3.755310991822094
0.30175,-0.44506369649499855,3.7495682410174744
0.30225,-0.4500904134361791,3.743823407668428
0.30275,-0.4551141889034282,3.738079511636496
0.30325,-0.4601376207328626,3.7323336357555372
0.30375,-0.46515819133040937,3.7265887125697086
0.30425,-0.47017842050364683,3.7208419115255285
0.30475,-0.4751958677897,3.71509607893012
0.30525,-0.4802129761259946,3.7093484697621206
0.30575,-0.48522738103363505,3.7036018451686465
0.30625,-0.49024144972420586,3.697853544583297
0.30675,-0.49525289256945576,3.6921062450668005
0.30725,-0.5002640021856041,3.686357369434007
0.30775,-0.5052725626753599,3.680609511729415
0.30825,-0.5102807931764541,3.674860177078937
0.30875,-0.5152865504162909,3.6691118775774405
0.30925,-0.520291981157616,3.6633621995953183
0.30975,-0.5252950136594543,3.6576135743407927
0.31025,-0.53029772339993,3.65186366836581
0.31075,-0.5352981090895824,3.6461148330512483
0.31125,-0.5402981759993553,3.640364814071426
0.31175,-0.5452959922239436,3.6346158840354126
0.31225,-0.5502934938918461,3.628865866684522
0.31275,-0.5552888174270952,3.6231169569077335
0.31325,-0.5602838308679884,3.617367055461847
0.31375,-0.5652767379254049,3.6116182805635675
0.31425,-0.5702693395873948,3.6058686089376324
0.31475,-0.5752599058213165,3.6001200831723246
0.31525,-0.580250171592852,3.594370754916766
0.31575,-0.5852384721073913,3.588622592170645
0.31625,-0.5902264773242473,3.5828737204679992
0.31675,-0.5952125866801155,3.577126034255651
0.31725,-0.6001984061322552,3.5713777319172237
0.31775,-0.6051823983534751,3.565630635378249
0.31825,-0.6101661062918053,3.559883014840812
0.31875,-0.6151480548723163,3.554136620736494
0.31925,-0.6201297250153288,3.548389794058995
0.31975,-0.6251097029254784,3.542644214769007
0.32025,-0.6300894084657823,3.5368982936293247
0.32075,-0.6350674881587174,3.5311536411484594
0.32125,-0.640045301769468,3.5254087368401748
0.32175,-0.6450215551874185,3.519665122775105
0.32225,-0.6499975490286336,3.5139213462043157
0.32275,-0.6549720476090952,3.508178881770386
0.32325,-0.659946293333877,3.5024363434525347
0.32375,-0.6649191080156942,3.496695139470582
0.32425,-0.6698916767763451,3.490953949527324
0.32475,-0.6748628780056913,3.4852141164205284
0.32525,-0.6798338404597296,3.4794743845766294
0.32575,-0.6848034981959956,3.4737360323673947
0.32625,-0.6897729245120794,3.4679978679476515
0.32675,-0.694741108233664,3.4622611062545174
0.32725,-0.6997090680974091,3.456524618180715
0.32775,-0.7046758468074161,3.4507895562152977
0.32825,-0.7096424094271307,3.4450548530031906
0.32875,-0.7146078516589769,3.439321599567154
0.32925,-0.719573085771296,3.433588789323482
0.32975,-0.7245372595942223,3.4278574528055406
0.33025,-0.7295012334696539,3.422126643225075
0.33075,-0.7344642064941557,3.4163973315980245
0.33125,-0.7394269879425401,3.410668629960637
0.33175,-0.7443888273257058,3.404941450778421
0.33225,-0.7493504837015813,3.3992149639461933
0.33275,-0.7543112561523454,3.3934900243409905
0.33325,-0.7592718543602334,3.3877658587553485
0.33375,-0.7642316261445499,3.3820432654347026
0.33425,-0.7691912326441521,3.376321527113575
0.33475,-0.7741500695900776,3.37060138635755
0.33525,-0.7791087504013914,3.3648821808925704
0.33575,-0.784066717904094,3.359164598550934
0.33625,-0.7890245386124475,3.353448031104663
0.33675,-0.7939817016391326,3.347733112594101
0.33725,-0.7989387274001339,3.3420192878972865
0.33775,-0.8038951504948917,3.3363071381986593
0.33825,-0.808851446039305,3.3305961605475156
0.33875,-0.8138071933278834,3.3248868842031265
0.33925,-0.8187628229664254,3.319178857456659
0.33975,-0.8237179581609225,3.313472558567572
0.34025,-0.8286729857889814,3.3077675861449234
0.34075,-0.8336275721924679,3.302064368368302
0.34125,-0.8385820612947504,3.2963625532461256
0.34175,-0.843536161805817,3.290662519792604
0.34225,-0.848490175460917,3.2849639645024817
0.34275,-0.8534438525781496,3.279267218133568
0.34325,-0.8583974534630483,3.273572024759447
0.34375,-0.8633507692894344,3.2678786677849594
0.34425,-0.8683040196839282,3.262186937960622
0.34475,-0.8732570359311902,3.256497072236156
0.34525,-0.8782099977222478,3.2508089071427224
0.34575,-0.8831627757151113,3.245122634067147
0.34625,-0.8881155104011641,3.239438134430609
0.34675,-0.8930681110815573,3.2337555549435963
0.34725,-0.8980206797767185,3.228074821032383
0.34775,-0.9029731637079057,3.222396035611968
0.34825,-0.9079256271461253,3.216719167234538
0.34875,-0.9128780545167783,3.2110442758947113
0.34925,-0.9178304730559336,3.2053713723971815
0.34975,-0.9227829036841323,3.1997004746855136
0.35025,-0.9277353373100508,3.1940316349493174
0.35075,-0.9326878306472285,3.1883648299446117
0.35125,-0.9376403389776526,3.182700152384184
0.35175,-0.9425929541124755,3.177037538694165
0.35225,-0.947545596400959,3.1713771212546638
0.35275,-0.9524983920631447,3.1657187970136995
0.35325,-0.9574512272028917,3.1600627371687584
0.35375,-0.9624042617669716,3.1544088000356028
0.35425,-0.9673573482946155,3.148757194785112
0.35475,-0.9723106797836327,3.1431077419406916
0.35525,-0.9772640758829545,3.1374606878086126
0.35575,-0.982217761972109,3.1318158159538405
0.35625,-0.9871715254776993,3.1261734089860465
0.35675,-0.9921256234979341,3.1205332143396665
0.35725,-0.9970798118987945,3.114895550101825
0.35775,-1.0020343788403254,3.109260128398287
0.35825,-1.006989049283417,3.1036273019737646
0.35875,-1.0119441417992099,3.0979967484611373
0.35925,-1.0168993510929452,3.0923688544489347
0.35975,-1.0218550255021346,3.086743263886842
0.36025,-1.026810830119814,3.081120396399573
0.36075,-1.0317671424110735,3.0754998630571695
0.36125,-1.0367235984942718,3.0698821157190515
0.36175,-1.041680604329129,3.0642667333730254
0.36225,-1.0466377676910228,3.0586541993179206
0.36275,-1.0515955224071223,3.0530440612505316
0.36325,-1.0565534485357713,3.0474368331200083
0.36375,-1.0615120071500916,3.0418320321171515
0.36425,-1.0664707512116671,3.0362302020585794
0.36475,-1.0714301684236807,3.0306308304078886
0.36525,-1.0763897852656419,3.0250344900725676
0.36575,-1.0813501154604317,3.0194406395615436
0.36625,-1.086310659614658,3.0138498801028595
0.36675,-1.0912719568659832,3.0082616420170387
0.36725,-1.0962334825518496,3.0026765540886524
0.36775,-1.1011958006251648,2.997094019209796
0.36825,-1.106158361752577,2.991514692963871
0.36875,-1.1111217541080047,2.985937951568193
0.36925,-1.1160854042803843,2.98036447665364
0.36975,-1.1210499240756393,2.97479361851007
0.37025,-1.1260147165928611,2.9692260840708347
0.37075,-1.1309804166861337,2.963661198439303
0.37125,-1.1359464045474221,2.9580996931126813
0.37175,-1.1409133375002123,2.9525408687424424
0.37225,-1.1458805734069866,2.9469854806574247
0.37275,-1.1508487914868968,2.941432805785416
0.37325,-1.1558173278455772,2.935883622561067
0.37375,-1.1607868830290644,2.9303371849102864
0.37425,-1.1657567719538335,2.9247942936541538
0.37475,-1.1707277159289116,2.919254180432083
0.37525,-1.1756990092444306,2.9137176677386387
0.37575,-1.1806713934133388,2.90818396563569
0.37625,-1.185644142657429,2.902653917584796
0.37675,-1.1906180181392547,2.8971267127727915
0.37725,-1.1955922745655254,2.8916032149282125
0.37775,-1.2005676921987871,2.8860825930589025
0.37825,-1.2055435067792346,2.880565730466829
0.37875,-1.2105205171244275,2.8750517766704253
0.37925,-1.2154979405519875,2.8695416338580504
0.37975,-1.2204765938940858,2.864034432741811
0.38025,-1.225455676585148,2.858531093715916
0.38075,-1.2304360229360718,2.853030729362749
0.38125,-1.2354168150329585,2.847534277608335
0.38175,-1.240398904134001,2.842040833575435
0.38225,-1.2453814555073999,2.836551352054384
0.38275,-1.250365336831618,2.8310649113719046
0.38325,-1.255349697082987,2.825582482521666
0.38375,-1.260335419837557,2.8201031276914184
0.38425,-1.265321638301483,2.814627833423728
0.38475,-1.2703092514300145,2.809155646417919
0.38525,-1.2752973771765426,2.803687568117554
0.38575,-1.2802869293613632,2.7982226303775413
0.38625,-1.2852770111982883,2.792761848901101
0.38675,-1.290268550862689,2.7873042413361966
0.38725,-1.2952606373378082,2.781850837010914
0.38775,-1.3002542126482544,2.776400639997207
0.38825,-1.305248352051589,2.7709546926197963
0.38875,-1.310244010919902,2.76551198599901
0.38925,-1.3152402512858847,2.760073574834536
0.38975,-1.3202380413713826,2.7546384379129187
0.39025,-1.3252364304810085,2.7492076416937103
0.39075,-1.3302363991926192,2.743780153240954
0.39125,-1.3352369845755683,2.7383570501655297
0.39175,-1.3402391790739097,2.7329372884137206
0.39225,-1.3452420080106298,2.727521956145765
0.39275,-1.3502464752100551,2.722109998788366
0.39325,-1.3552515947338193,2.7167025144557226
0.39375,-1.360258381304435,2.711298438646586
0.39425,-1.3652658382033638,2.705898878840283
0.39475,-1.3702749905730123,2.7005027611926944
0.39525,-1.3752848313920658,2.695111201966009
0.39575,-1.3802963957482808,2.68972311855176
0.39625,-1.3853086667912213,2.6843396354193003
0.39675,-1.3903226890831517,2.678959661767795
0.39725,-1.3953374364144726,2.673584329704624
0.39775,-1.4003539623547767,2.6682125408020165
0.39825,-1.405371231801605,2.6628454342427967
0.39875,-1.410390306868319,2.6574819045311524
0.39925,-1.4154101440222875,2.652123097369329
0.39975,-1.4204318134606582,2.646767900745826
0.40025,-1.4254542636797483,2.6414174663328343
0.40075,-1.4304785725040445,2.6360706761489907
0.40125,-1.435503680914403,2.630728687293495
0.40175,-1.4405306739096966,2.6253903763544204
0.40225,-1.4455584854074204,2.6200569053215865
0.40275,-1.4505882071313378,2.6147271458852788
0.40325,-1.4556187663842353,2.6094022643960675
0.40375,-1.460651261168688,2.6040811281727234
0.40425,-1.46568461261801,2.598764907403227
0.40475,-1.4707199245708917,2.593452465554593
0.40525,-1.4757561124330387,2.5881449761353883
0.40575,-1.4807942854399,2.582841299274141
0.40625,-1.485833353708103,2.5775426112896778
0.40675,-1.4908744314338014,2.5722477694788286
0.40725,-1.4959164238797724,2.5669579524668524
0.40775,-1.5009604497700932,2.561672015219188
0.40825,-1.5060054099456566,2.556391138170183
0.40875,-1.5110524272289148,2.5511141744477306
0.40925,-1.5161003984676094,2.5458423058043986
0.40975,-1.5211504501562199,2.540574384017926
0.41025,-1.5262014755748778,2.535311591674693
0.41075,-1.5312546044669066,2.530052779683235
0.41125,-1.5363087269672109,2.524799130985783
0.41175,-1.5413649756479018,2.519549496096196
0.41225,-1.5464222379179124,2.514305057841032
0.41275,-1.5514816487611882,2.5090646668075847
0.41325,-1.5565420932768512,2.503829505241634
0.41375,-1.5616047084467959,2.498598424265615
0.41425,-1.566668377473429,2.49337260508584
0.41475,-1.5717342389257412,2.4881508998152095
0.41525,-1.5768011745194932,2.4829344881682647
0.41575,-1.581870324002923,2.4777222236973273
0.41625,-1.5869405680122146,2.472515284179236
0.41675,-1.5920130470699765,2.467312525048339
0.41725,-1.5970866411369147,2.4621151217042074
0.41775,-1.6021624911080767,2.456921931899475
0.41825,-1.607239476669853,2.4517341282232237
0.41875,-1.6123187386907096,2.4465505711763185
0.41925,-1.6173991569809711,2.4413724301104516
0.41975,-1.6224818719863894,2.436198568698361
0.42025,-1.6275657640365917,2.431030152633762
0.42075,-1.6326519727613404,2.4258660491786195
0.42125,-1.6377393794020842,2.4207074199543652
0.42175,-1.6428291223821425,2.4155531362232927
0.42225,-1.647920084244478,2.4104043551265164
0.42275,-1.6530134018183222,2.4052599523315017
0.42325,-1.6581079593350467,2.4001210800972603
0.42375,-1.6632048916449211,2.394986618895058
0.42425,-1.6683030850518477,2.3898577157062455
0.42475,-1.6734036720450107,2.384733256198308
0.42525,-1.6785055413822214,2.379614381685588
0.42575,-1.6836098228121772,2.3744999834180276
0.42625,-1.6887154079252584,2.3693911966597914
0.42675,-1.6938234233529679,2.364286918623362
0.42725,-1.6989327638942213,2.359188278145725
0.42775,-1.704044552689294,2.354094178775841
0.42825,-1.7091576881189354,2.3490057425526567
0.42875,-1.7142732894608077,2.343921879729432
0.42925,-1.7193902590481431,2.3388437051823323
0.42975,-1.7245097119272303,2.3337701362306555
0.43025,-1.7296305547518167,2.3287022802291304
0.43075,-1.7347538979706547,2.3236390619187555
0.43125,-1.7398786529234438,2.3185815807802435
0.43175,-1.7450059250978118,2.3135287693259197
0.43225,-1.7501346308822705,2.3084817188159397
0.43275,-1.7552658704422945,2.3034393698775633
0.43325,-1.7603985655755165,2.2984028052098635
0.43375,-1.7655338107667595,2.293370973892651
0.43425,-1.7706705335805557,2.2883449497293915
0.43475,-1.7758098224650871,2.283323690584092
0.43525,-1.780950611107058,2.2783082610360483
0.43575,-1.7860939815645103,2.2732976280591743
0.43625,-1.791238873999108,2.268292846685969
0.43675,-1.7963863637277178,2.263292893320053
0.43725,-1.8015353977372837,2.258298813130419
0.43775,-1.806687044254912,2.2533095922643045
0.43825,-1.8118402574407066,2.2483262657163636
0.43875,-1.8169960980858533,2.243347829685512
0.43925,-1.822153527869066,2.238375308687093
0.43975,-1.8273135998018573,2.2334077092739255
0.44025,-1.832475283424601,2.2284460451828965
0.44075,-1.8376396236277714,2.2234893336171586
0.44125,-1.8428055981540663,2.2185385772417905
0.44175,-1.8479742434339217,2.2135928042009425
0.44225,-1.8531445457506581,2.2086530058003
0.44275,-1.8583175327380244,2.203718221409934
0.44325,-1.8634921995559155,2.198789430694289
0.44375,-1.8686695647070755,2.193865684528568
0.44425,-1.8738486325615957,2.188947950659838
0.44475,-1.8790304121592083,2.184035291741968
0.44525,-1.8842139174115153,2.1791286633341835
0.44575,-1.8894001475655244,2.1742271401369058
