lambda,x,density
4.0,-5.3093093093093096,0.013017066284731234
4.0,-5.293293293293294,0.013511660155984137
4.0,-5.277277277277277,0.014021449375824705
4.0,-5.261261261261261,0.01454674082380901
4.0,-5.245245245245245,0.015087840765732547
4.0,-5.2292292292292295,0.01564505451060617
4.0,-5.213213213213214,0.016218686056077687
4.0,-5.197197197197197,0.016809037722425386
4.0,-5.181181181181181,0.017416409775274422
4.0,-5.165165165165165,0.018041100037214448
4.0,-5.1491491491491495,0.01868340348852237
4.0,-5.133133133133134,0.019343611857222155
4.0,-5.117117117117117,0.02002201319874133
4.0,-5.101101101101101,0.020718891465451975
4.0,-5.085085085085085,0.02143452606641289
4.0,-5.069069069069069,0.022169191417658517
4.0,-5.053053053053053,0.02292315648340931
4.0,-5.037037037037037,0.02369668430860824
4.0,-5.021021021021021,0.024490031543218004
4.0,-5.005005005005005,0.025303447958742262
4.0,-4.988988988988989,0.02613717595746595
4.0,-4.972972972972973,0.026991450074937792
4.0,-4.956956956956957,0.027866496476248896
4.0,-4.940940940940941,0.028762532446691462
4.0,-4.924924924924925,0.029679765877409177
4.0,-4.908908908908909,0.030618394746682428
4.0,-4.892892892892893,0.03157860659751783
4.0,-4.876876876876877,0.03256057801224106
4.0,-4.8608608608608606,0.03356447408482022
4.0,-4.844844844844845,0.034590447891671344
4.0,-4.828828828828829,0.03563863996172783
4.0,-4.812812812812813,0.03670917774657726
4.0,-4.796796796796797,0.037802175091495964
4.0,-4.7807807807807805,0.038917731708235384
4.0,-4.764764764764765,0.04005593265043457
4.0,-4.748748748748749,0.041216847792558
4.0,-4.732732732732733,0.04240053131327461
4.0,-4.716716716716716,0.04360702118421519
4.0,-4.7007007007007005,0.04483633866506204
4.0,-4.684684684684685,0.046088487805940465
4.0,-4.668668668668669,0.04736345495809614
4.0,-4.652652652652653,0.04866120829385581
4.0,-4.636636636636636,0.04998169733687888
4.0,-4.62062062062062,0.05132485250371788
4.0,-4.604604604604605,0.05269058465771255
4.0,-4.588588588588589,0.054078784676246903
4.0,-4.5725725725725725,0.05548932303240459
4.0,-4.556556556556556,0.05692204939205629
4.0,-4.54054054054054,0.058376792227415264
4.0,-4.524524524524525,0.05985335844809174
4.0,-4.508508508508509,0.061351533050673236
4.0,-4.4924924924924925,0.06287107878785035
4.0,-4.476476476476476,0.06441173585809752
4.0,-4.46046046046046,0.06597322161690707
4.0,-4.444444444444445,0.06755523031056021
4.0,-4.428428428428429,0.06915743283340067
4.0,-4.412412412412412,0.0707794765095601
4.0,-4.396396396396396,0.07242098490006012
4.0,-4.38038038038038,0.07408155763619428
4.0,-4.364364364364365,0.07576077028006485
4.0,-4.348348348348349,0.07745817421312096
4.0,-4.332332332332332,0.0791732965535143
4.0,-4.316316316316316,0.08090564010305322
4.0,-4.3003003003003,0.08265468332450196
4.0,-4.2842842842842845,0.08441988034993114
4.0,-4.268268268268269,0.08620066102078601
4.0,-4.252252252252252,0.08799643096029641
4.0,-4.236236236236236,0.08980657167880515
4.0,-4.22022022022022,0.0916304407125472
4.0,-4.2042042042042045,0.09346737179635914
4.0,-4.188188188188189,0.09531667507074865
4.0,-4.172172172172172,0.09717763732370058
4.0,-4.156156156156156,0.09904952226753899
4.0,-4.14014014014014,0.10093157085110974
4.0,-4.124124124124124,0.10282300160748745
4.0,-4.108108108108109,0.10472301103735052
4.0,-4.092092092092092,0.10663077402810721
4.0,-4.076076076076076,0.108545444308791
4.0,-4.06006006006006,0.11046615494068046
4.0,-4.044044044044044,0.11239201884353238
