lambda,x,density
4.0,0.7447447447447448,0.01686435054275734
4.0,0.7607607607607605,0.01745607557642348
4.0,0.7767767767767761,0.01806566959181509
4.0,0.7927927927927936,0.018693397528155502
4.0,0.8088088088088092,0.019339522523287862
4.0,0.8248248248248249,0.020004305446174812
4.0,0.8408408408408405,0.02068800442049529
4.0,0.8568568568568562,0.021390874339645854
4.0,0.8728728728728736,0.02211316637347964
4.0,0.8888888888888893,0.02285512746714322
4.0,0.9049049049049049,0.023616999832400995
4.0,0.9209209209209206,0.024399020431862088
4.0,0.9369369369369362,0.025201420456555643
4.0,0.9529529529529537,0.026024424797327514
4.0,0.9689689689689693,0.02686825151055968
4.0,0.984984984984985,0.027733111278744324
4.0,1.0010010010010006,0.02861920686646972
4.0,1.0170170170170163,0.02952673257240695
4.0,1.0330330330330337,0.03045587367791268
4.0,1.0490490490490494,0.0314068058928913
4.0,1.065065065065065,0.03237969479958943
4.0,1.0810810810810807,0.03337469529501904
4.0,1.0970970970970964,0.034391951032736096
4.0,1.1131131131131138,0.03543159386472532
4.0,1.1291291291291294,0.036493743284166824
4.0,1.145145145145145,0.037578505869887334
4.0,1.1611611611611607,0.03868597473331826
4.0,1.1771771771771764,0.03981622896880927
4.0,1.1931931931931938,0.040969333108165674
4.0,1.2092092092092095,0.042145336580297905
4.0,1.2252252252252251,0.043344273176893204
4.0,1.2412412412412408,0.04456616052503314
4.0,1.2572572572572565,0.0458109995677011
4.0,1.2732732732732739,0.04707877405313665
4.0,1.2892892892892895,0.048369450034006674
4.0,1.3053053053053052,0.04968297537737776
4.0,1.3213213213213209,0.05101927928647929
4.0,1.3373373373373365,0.052378271835259914
4.0,1.353353353353354,0.05375984351674321
4.0,1.3693693693693696,0.055163864806192855
4.0,1.3853853853853852,0.05659018574010281
4.0,1.401401401401401,0.05803863551202296
4.0,1.4174174174174166,0.05950902208623401
4.0,1.433433433433434,0.06100113183027819
4.0,1.4494494494494496,0.06251472916734623
4.0,1.4654654654654653,0.0640495562495151
4.0,1.481481481481481,0.06560533265281511
4.0,1.4974974974974966,0.06718175509509652
4.0,1.513513513513514,0.0687784971776477
4.0,1.5295295295295297,0.07039520915149775
4.0,1.5455455455455454,0.07203151770932056
4.0,1.561561561561561,0.07368702580382731
4.0,1.5775775775775767,0.0753613124935153
4.0,1.593593593593594,0.07705393281661023
4.0,1.6096096096096097,0.07876441769400802
4.0,1.6256256256256254,0.08049227386199351
4.0,1.641641641641641,0.08223698383547218
4.0,1.6576576576576567,0.08399800590241938
4.0,1.6736736736736741,0.08577477415020865
4.0,1.6896896896896898,0.08756669852443846
4.0,1.7057057057057055,0.08937316492083601
4.0,1.721721721721721,0.09119353531076378
4.0,1.7377377377377385,0.09302714790081272
4.0,1.7537537537537542,0.09487331732690989
4.0,1.7697697697697699,0.09673133488332104
4.0,1.7857857857857855,0.09860046878686753
4.0,1.8018018018018012,0.1004799644766265
4.0,1.8178178178178186,0.10236904494932265
