schedule,sigma,mse,mode_error
r_normal_wide,1.1155121402101058,0.9002540707588196,0.060546875
r_normal_wide,1.2281728451698428,0.8481149077415466,0.05859375
r_normal_wide,1.3522116732216651,0.9952926635742188,0.0625
r_normal_wide,1.4887777533821611,1.2737720012664795,0.111328125
r_normal_wide,1.6391362704959387,1.4766621589660645,0.1171875
r_normal_wide,1.804680186247825,1.8227851390838623,0.1328125
r_normal_wide,1.9869431439340202,2.164243698120117,0.193359375
r_normal_wide,2.18761367654549,2.196931838989258,0.171875
r_normal_wide,2.4085508497910983,2.551950216293335,0.24609375
r_normal_wide,2.651801484981615,2.526447296142578,0.21484375
r_normal_wide,2.9196191213320715,3.096625804901123,0.267578125
r_normal_wide,3.21448489335428,3.0357210636138916,0.283203125
r_normal_wide,3.5391305167533327,3.4857373237609863,0.29296875
r_normal_wide,3.896563595775542,3.3787925243377686,0.28125
r_normal_wide,4.290095486461946,4.306695938110352,0.392578125
r_normal_wide,4.723371973940028,4.270057678222656,0.359375
r_normal_wide,5.200407047956278,3.953122138977051,0.33203125
r_normal_wide,5.72562008955526,4.731740474700928,0.3671875
r_normal_wide,6.303876813412554,4.961272239685059,0.390625
r_normal_wide,6.940534345122285,6.182788372039795,0.44921875
r_normal_wide,7.6414908510474175,6.35198450088501,0.416015625
r_normal_wide,8.413240180517057,6.424250602722168,0.4296875
r_normal_wide,9.262932026590663,6.554723739624023,0.4140625
r_normal_wide,10.198438162734806,7.190194606781006,0.412109375
r_normal_wide,11.228425369046683,7.664102554321289,0.44140625
r_normal_wide,12.362435723632643,9.06059741973877,0.474609375
r_normal_wide,13.610975002982464,9.707900047302246,0.435546875
r_normal_wide,14.985610010304342,11.711994171142578,0.419921875
r_normal_wide,16.499075733496387,13.005982398986816,0.435546875
r_normal_wide,18.16539332549472,13.627201080322266,0.44921875
r_normal_wide,19.999999999999996,17.76133918762207,0.486328125
r_normal_mid,0.010000000000000005,0.0409165620803833,0.0
r_normal_mid,0.01100994602298563,0.02520410344004631,0.001953125
r_normal_mid,0.012121891142905695,0.013790231198072433,0.0
r_normal_mid,0.013346136717989924,0.007632200140506029,0.0
r_normal_mid,0.01469402448804556,0.006173385307192802,0.0
r_normal_mid,0.01617804164738105,0.0044938367791473866,0.0
r_normal_mid,0.01781193652952788,0.007224797736853361,0.0
r_normal_mid,0.019610845975494787,0.011173376813530922,0.0
r_normal_mid,0.02159143556552824,0.012795242480933666,0.0
r_normal_mid,0.023772054013523794,0.01668071746826172,0.0
r_normal_mid,0.02617290315443958,0.027528664097189903,0.0
r_normal_mid,0.028816225099520986,0.03168097138404846,0.0
r_normal_mid,0.03172650829319295,0.02165103517472744,0.0
r_normal_mid,0.03493071438058602,0.010498004034161568,0.0
r_normal_mid,0.038458527987457976,0.006096287630498409,0.0
