schedule,seed,sigma,mse,bayes_mse,excess_mse,mode_error
hang_laplace_lambda_b0.5,20260526,1.1155121402101058,0.6538751125335693,0.6450485587120056,0.009191354736685753,0.05517578125
hang_laplace_lambda_b0.5,20260526,1.2281728451698428,0.7341470718383789,0.7317624688148499,0.003559309523552656,0.059814453125
hang_laplace_lambda_b0.5,20260526,1.3522116732216651,0.9849117398262024,0.979357123374939,0.003052340354770422,0.079345703125
hang_laplace_lambda_b0.5,20260526,1.4887777533821611,1.1704610586166382,1.1649465560913086,0.006120494566857815,0.1044921875
hang_laplace_lambda_b0.5,20260526,1.6391362704959387,1.3739290237426758,1.367811679840088,0.009562932886183262,0.12451171875
hang_laplace_lambda_b0.5,20260526,1.804680186247825,1.650490164756775,1.645385503768921,0.012656617909669876,0.14453125
hang_laplace_lambda_b0.5,20260526,1.9869431439340202,1.9353151321411133,1.9168651103973389,0.015011426992714405,0.170166015625
hang_laplace_lambda_b0.5,20260526,2.18761367654549,2.1041295528411865,2.081702947616577,0.016711194068193436,0.181884765625
hang_laplace_lambda_b0.5,20260526,2.4085508497910983,2.3758041858673096,2.3591485023498535,0.020190685987472534,0.20166015625
hang_laplace_lambda_b0.5,20260526,2.651801484981615,2.6585240364074707,2.625523567199707,0.02821352332830429,0.227783203125
hang_laplace_lambda_b0.5,20260526,2.9196191213320715,2.846240758895874,2.795206069946289,0.046497147530317307,0.24853515625
hang_laplace_lambda_b0.5,20260526,3.21448489335428,3.1034281253814697,3.044053316116333,0.07991445064544678,0.280517578125
hang_laplace_lambda_b0.5,20260526,3.5391305167533327,3.235276937484741,3.100538969039917,0.10840083658695221,0.282958984375
hang_laplace_lambda_b0.5,20260526,3.896563595775542,3.3982770442962646,3.2562856674194336,0.13399244844913483,0.2919921875
hang_laplace_lambda_b0.5,20260526,4.290095486461946,3.664609432220459,3.5367543697357178,0.13569876551628113,0.330322265625
