schedule,seed,lambda,mse,bayes_mse,excess_mse,mode_error
hang_laplace_lambda_b0.5,20260526,4.6835443037974684,1.0208020210266113,0.9666179418563843,0.06177183613181114,0.0
hang_laplace_lambda_b0.5,20260526,4.936708860759495,1.020220160484314,0.9581873416900635,0.06494687497615814,0.000244140625
hang_laplace_lambda_b0.5,20260526,5.18987341772152,1.0327484607696533,0.9956024885177612,0.05960194021463394,0.0
hang_laplace_lambda_b0.5,20260526,5.443037974683545,0.9826170802116394,0.9320111274719238,0.05498375743627548,0.0
hang_laplace_lambda_b0.5,20260526,5.6962025316455716,1.002652645111084,0.9512332677841187,0.05260627716779709,0.0
hang_laplace_lambda_b0.5,20260526,5.949367088607596,1.027348279953003,0.9864608645439148,0.05491986870765686,0.0
hang_laplace_lambda_b0.5,20260526,6.202531645569621,1.066698670387268,1.0108375549316406,0.06551887094974518,0.0
hang_laplace_lambda_b0.5,20260526,6.455696202531648,1.0737402439117432,0.9870278239250183,0.07556997239589691,0.000244140625
hang_laplace_lambda_b0.5,20260526,6.708860759493671,1.0585485696792603,0.9825130701065063,0.08062165975570679,0.0
hang_laplace_lambda_b0.5,20260526,6.962025316455698,1.0506902933120728,0.9710146188735962,0.08747471868991852,0.0
hang_laplace_lambda_b0.5,20260526,7.215189873417721,1.0570068359375,0.9697163701057434,0.0936335027217865,0.0
hang_laplace_lambda_b0.5,20260526,7.4683544303797476,1.0912936925888062,0.9861644506454468,0.10776852071285248,0.0
hang_laplace_lambda_b0.5,20260526,7.721518987341774,1.0665969848632812,0.9582132697105408,0.11329476535320282,0.0
hang_laplace_lambda_b0.5,20260526,7.974683544303797,1.1163244247436523,1.006131649017334,0.11456195265054703,0.00048828125
hang_laplace_lambda_b0.5,20260526,8.227848101265824,1.104966402053833,1.0150140523910522,0.10510554164648056,0.0
hang_laplace_lambda_b0.5,20260526,8.48101265822785,1.1176459789276123,1.0238606929779053,0.08587188273668289,0.000244140625
hang_laplace_lambda_b0.5,20260526,8.734177215189874,1.101757287979126,1.028494954109192,0.07210370898246765,0.0
hang_laplace_lambda_b0.5,20260526,8.9873417721519,1.0775341987609863,1.003737449645996,0.06613586097955704,0.0
hang_laplace_lambda_b0.5,20260526,9.240506329113927,1.0663014650344849,1.0142654180526733,0.06329649686813354,0.0
hang_laplace_lambda_b0.5,20260526,9.49367088607595,1.0648224353790283,0.9860867261886597,0.0660342201590538,0.0
hang_laplace_lambda_b0.5,20260526,9.746835443037977,1.0776193141937256,1.0333423614501953,0.058909498155117035,0.0
hang_laplace_lambda_b0.5,20260526,10.0,1.0699098110198975,1.021850347518921,0.053742870688438416,0.0
dmsr_normal_wide_s1.5,20260526,-10.0,0.5967720746994019,0.00019319771672599018,0.5964825749397278,0.502685546875
dmsr_normal_wide_s1.5,20260526,-9.746835443037975,0.5348927974700928,0.00025033255224116147,0.5340611934661865,0.511474609375
dmsr_normal_wide_s1.5,20260526,-9.49367088607595,0.5081117749214172,0.00032214366365224123,0.5078620910644531,0.499755859375
dmsr_normal_wide_s1.5,20260526,-9.240506329113924,0.5107722878456116,0.0004114301409572363,0.5107399225234985,0.492431640625
dmsr_normal_wide_s1.5,20260526,-8.987341772151899,0.5735240578651428,0.0005365835386328399,0.5729759931564331,0.501708984375
